epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47868.6,0.66758,0.39577,0.91217,0.98663,0.95866,0.9828,0.72825,1.11544,0.55317,1.09408,0.0011882,0.0011882,0.0011882
43,48376.3,0.67708,0.4005,0.90976,0.98183,0.97403,0.98521,0.71213,1.13629,0.54062,1.13712,0.0011684,0.0011684,0.0011684
44,48930.4,0.66139,0.39553,0.90831,0.98339,0.97403,0.98762,0.73274,1.1037,0.51422,1.07585,0.0011486,0.0011486,0.0011486
45,49374.8,0.67113,0.40193,0.90332,0.96928,0.97403,0.98874,0.73339,1.0822,0.4844,1.05715,0.0011288,0.0011288,0.0011288
46,49848,0.66899,0.39496,0.90671,0.99419,0.97403,0.98865,0.7328,1.10528,0.4862,1.0431,0.001109,0.001109,0.001109
47,50339.4,0.66795,0.39302,0.91238,0.98118,0.97403,0.98821,0.7267,1.12529,0.50778,1.05945,0.0010892,0.0010892,0.0010892
48,50820.9,0.65454,0.38749,0.90481,0.97872,0.96104,0.98812,0.74258,1.09899,0.51427,1.0484,0.0010694,0.0010694,0.0010694
49,51320.7,0.66624,0.39149,0.91663,0.94819,0.97403,0.98589,0.72823,1.10377,0.57148,1.04315,0.0010496,0.0010496,0.0010496
50,51794.8,0.6533,0.379,0.89772,0.93561,0.96104,0.97605,0.71673,1.15442,0.58337,1.04517,0.0010298,0.0010298,0.0010298
51,52290.5,0.64729,0.376,0.89948,0.9865,0.94893,0.98217,0.73618,1.11691,0.55996,1.05408,0.00101,0.00101,0.00101
52,52747.5,0.6471,0.37262,0.90096,0.98637,0.96104,0.97931,0.73418,1.13079,0.57714,1.05786,0.0009902,0.0009902,0.0009902
53,53248.1,0.63289,0.37798,0.90027,0.98657,0.96104,0.98595,0.72545,1.09432,0.49954,1.07927,0.0009704,0.0009704,0.0009704
54,53726,0.66151,0.37594,0.91387,0.93724,0.96974,0.98196,0.7189,1.13412,0.54988,1.07353,0.0009506,0.0009506,0.0009506
55,54425.9,0.61839,0.35551,0.90078,0.98166,0.93506,0.98587,0.73534,1.13279,0.51732,1.06242,0.0009308,0.0009308,0.0009308
56,54947.2,0.62032,0.34675,0.89215,0.98536,0.96104,0.98747,0.73972,1.06996,0.4795,1.03646,0.000911,0.000911,0.000911
