frame,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,plant_foot_x,plant_foot_y,ball_pos_x,ball_pos_y,knee_angle,plant_foot_distance
12,559.8755264282227,375.02103567123413,568.1466293334961,597.7376389503479,285.3453540802002,635.3064393997192,617.1823883056641,381.9302237033844,760.0286293029785,545.9810256958008,796.1542510986328,787.252185344696,756.0,816.0,95.44032822952923,6.544896014283334
13,561.5691947937012,374.830105304718,576.7730140686035,596.2450218200684,287.3276138305664,640.1479339599609,618.372802734375,381.9542992115021,761.1829948425293,545.9783864021301,796.2947845458984,787.7740573883057,756.0,816.0,94.69670619106661,6.599636674154515
14,561.3577079772949,373.4788191318512,584.2377662658691,594.1792273521423,292.7698802947998,647.9708003997803,618.3388710021973,381.2741982936859,761.9474601745605,545.9687304496765,796.7045402526855,788.6427068710327,758.0,816.0,94.53778733609218,6.281512385065163
15,561.5435028076172,373.15537691116333,599.7612190246582,589.712061882019,308.7528991699219,652.4834132194519,617.7375984191895,380.72213530540466,763.2617568969727,545.9310078620911,797.5582122802734,789.1924524307251,758.0,816.0,92.16392132817329,6.333077361514962
16,562.2895431518555,371.8898355960846,614.4948577880859,585.525176525116,317.37539291381836,657.1831583976746,616.9183158874512,379.6493911743164,764.4760894775391,545.3869271278381,798.3662796020508,789.3389010429382,760.0,818.0,89.82735511471624,6.125435608569546
17,562.4431800842285,371.47279500961304,610.2511024475098,585.0148916244507,319.48851585388184,658.2597970962524,616.5078163146973,379.16086435317993,764.9792289733887,544.9469375610352,798.6061477661133,789.3993473052979,760.0,818.0,91.51967146624953,6.145437058706873
18,562.375545501709,368.77118825912476,619.325122833252,581.093544960022,330.98962783813477,660.1915669441223,614.9582862854004,377.065554857254,765.5396461486816,544.3883728981018,798.4938812255859,789.3314981460571,760.0,818.0,90.325765812574,6.139084381963668
19,563.4381866455078,365.0506854057312,627.3774147033691,576.3884568214417,336.41180992126465,661.9412899017334,612.7866554260254,375.1653277873993,767.109260559082,544.2852473258972,797.7733612060547,789.1533780097961,758.0,820.0,89.55201890334291,6.437971669908017
20,565.3391075134277,364.21744108200073,640.3186798095703,574.49383020401,350.75560569763184,663.6639761924744,611.268310546875,374.4001257419586,768.263053894043,544.3128633499146,797.0333290100098,789.3137955665588,760.0,818.0,87.49104209318712,5.991681854211273
21,567.7009963989258,363.2846760749817,652.8267860412598,571.7725896835327,353.1248188018799,669.7280430793762,605.1596260070801,374.0509021282196,767.4638557434082,544.6517872810364,796.6143035888672,789.7347950935364,760.0,818.0,85.88937669921852,5.916342754611382
